ID,"Interacting with Others
",Building Inclusivity ,Collaboration ,Communication ,Customer Orientation,Developing People,Influence,Total Score by Applicant ,Total Score of Test
nGJsHFQE78IxU,80,2,2,1,2,1,0,8,10
SR99v79ASe,30,0,2,0,1,0,0,3,10
FvaaQWEE,70,0,0,2,2,2,1,7,10
6zXbQJAoW,30,1,0,0,0,0,2,3,10
OAsvejqRob,80,2,0,1,2,1,2,8,10
F4xg3a2feJ6,80,0,1,2,2,2,1,8,10
f2NiLLUqs,50,1,1,1,2,0,0,5,10
xy8Qa5dkFhjLF,80,1,2,2,2,0,1,8,10
iR8WyeFAy,70,0,2,2,0,2,1,7,10
8iFYQvVkQKDfh,100,2,1,2,1,2,2,10,10
ipeDFsIDyO,70,2,2,1,0,1,1,7,10
N3zjAejhcYwh,10,0,1,0,0,0,0,1,10
hZfzWO2J6dP,110,2,2,2,1,2,2,11,10
szD4aqhT,50,1,0,1,2,0,1,5,10
iulyzsnhJiR34,40,0,2,1,1,0,0,4,10
nbRlzPvEstVL,100,2,2,1,2,1,2,10,10
aMYXV7sNhcK,90,1,2,2,2,2,0,9,10
LJQ79gMON,60,0,2,2,0,1,1,6,10
0e8eBYkBnk,60,2,0,1,1,1,1,6,10
hVvw6iBX4H,30,2,1,0,0,0,0,3,10
jsNv295D5vOQ,70,2,1,1,2,1,0,7,10
8xyIydzf0eU,90,1,1,2,2,2,1,9,10
0Zcd2bcM4JFrx,50,1,0,1,0,2,1,5,10
crHzqgSbFttz,80,2,0,2,2,2,0,8,10
2lbJuN2Udaq7,70,2,2,1,0,1,1,7,10
6lqb5HmgX28lI,30,2,0,0,0,0,1,3,10
vpoT1yOHH,80,1,0,2,2,1,2,8,10
tpqijEowUoE,70,2,1,2,0,1,1,7,10
OkgDK0Xy0,80,2,2,2,1,0,1,8,10
YxLQCqt13N,60,0,0,2,2,2,0,6,10
Bcfm4aLWNa,90,1,2,1,1,2,2,9,10
IUp2PRjfE,60,2,0,2,0,1,1,6,10
g5fk4jMLwwH2,30,1,0,0,0,1,1,3,10
OW1oVLIG,50,2,0,0,1,1,1,5,10
DF2ZJFfMYw,80,0,2,2,1,1,2,8,10
a6WbM7vtLekTc,70,2,1,0,2,2,0,7,10
4iHHQwWFDo,50,1,1,0,0,2,1,5,10
gyut9nECNmtRY,40,1,1,0,1,1,0,4,10
xz8JtdB6r3,70,2,1,2,0,2,0,7,10
qXBpw4qvh4IO,80,2,1,0,1,2,2,8,10
YpellxWl8yNNi,50,1,0,0,1,1,2,5,10
Q6Kx8lyWH,50,1,0,2,1,0,1,5,10
NPsDTyd6,60,0,0,1,1,2,2,6,10
N7R21sMLv,40,0,0,0,2,0,2,4,10
yLgLS5yoX,50,2,0,2,0,1,0,5,10
TUnSh44W,70,2,1,2,1,0,1,7,10
uQ8lOzg46Di,80,1,2,2,1,2,0,8,10
NDHfSDbZu,40,2,0,2,0,0,0,4,10
eHJjLpY3Thv,20,0,1,0,0,1,0,2,10
fq1oxJppHphIe,40,0,2,2,0,0,0,4,10
6nvlBpVgERHU,40,2,1,0,1,0,0,4,10
d51zzJHb,100,2,2,2,1,1,2,10,10
X7HGrbVwl,60,2,0,2,0,0,2,6,10
Rra9yQ8WB3f8f,30,0,0,1,1,0,1,3,10
l9mcAhsM7PsCU,80,1,1,2,1,2,1,8,10
ygT3xVeX,0,0,0,0,0,0,0,0,10
lByRU7y17,50,0,2,0,2,1,0,5,10
v82sw8VA5,80,1,2,1,2,0,2,8,10
pMU6b2OFPZs,70,0,1,1,2,2,1,7,10
KwPFZdC3Th,80,2,2,0,2,0,2,8,10
KHmpavW8,60,2,2,0,1,1,0,6,10
rerxUmRAC5r,50,0,2,1,0,2,0,5,10
AC1VzSIXFMyOo,80,1,0,2,2,2,1,8,10
ZJcjmo5zJZn,40,1,0,1,2,0,0,4,10
Q3JPPExu,50,2,2,0,0,1,0,5,10
9RZkKGU98,70,1,0,2,2,1,1,7,10
VnLyAQSd,30,0,2,0,1,0,0,3,10
ceAEIZv15,40,1,0,1,1,0,1,4,10
nqdH3QLmngYv,90,0,2,2,1,2,2,9,10
XaP6XdxK0A2tS,80,1,2,0,2,2,1,8,10
fH7ofrE3uPU2g,40,0,0,2,0,2,0,4,10
wsob0Ducrq,50,2,0,1,1,0,1,5,10
tfGWItws8i6k,70,1,2,0,2,0,2,7,10
rbg2H9UWB,40,1,0,1,0,1,1,4,10
uPvw3HFz,50,1,1,0,0,2,1,5,10
aUQ7M7Xm,60,1,0,1,1,1,2,6,10
Bk21vseMETwXw,50,2,2,0,0,0,1,5,10
KvEz0LOj0,30,2,1,0,0,0,0,3,10
XxJSm34X29CK,40,1,1,0,0,2,0,4,10
QBsGgYxaXUY1j,50,1,1,1,1,1,0,5,10
S5aidaoMtRV2v,40,2,1,1,0,0,0,4,10
RKaiPmB51fxlc,50,1,0,0,1,1,2,5,10
NyrdLpKato,90,1,2,2,0,2,2,9,10
YoHnUwDCRH,50,1,0,0,2,1,1,5,10
X8dm13cbAS,60,0,1,0,2,1,2,6,10
tcvuSk0qe,60,1,0,2,1,0,2,6,10
TH9mYAhxH2,50,0,1,1,1,2,0,5,10
nHIIpYF5,40,2,0,2,0,0,0,4,10
3RlMtu70KZq,60,1,1,0,1,1,2,6,10
O0LnbR5EWdp,90,2,2,0,2,1,2,9,10
6rj9DUXxF5Lel,40,0,2,0,0,1,1,4,10
QDjFZnEXk53,50,0,1,1,0,2,1,5,10
kJ2KIDfwj,70,0,0,2,2,1,2,7,10
vVSp193mrN,40,2,0,0,1,1,0,4,10
v6jRDvFtsH,60,1,0,0,1,2,2,6,10
G0Z7ZkKQrcx2r,20,1,0,0,0,0,1,2,10
IlPReSBA,70,2,1,1,2,1,0,7,10
AUjtSUfBGKmt,60,0,0,2,1,1,2,6,10
23C08hmkhtMX,70,1,0,2,1,1,2,7,10
sY6Mv4gppRsc4,20,0,0,2,0,0,0,2,10
r7Mz8yww1id,30,0,0,2,1,0,0,3,10
iKTkIRo0h,40,1,0,1,1,0,1,4,10
816rq3NMs,70,2,0,2,2,0,1,7,10
yvG2qDFHI36Fy,60,2,1,0,1,1,1,6,10
GEL3BiHvASoVM,30,1,0,0,2,0,0,3,10
